step,ppo_actor/task_reward/avg,rollout/reward,ppo_actor/seq_len/avg,timeperf/train_step,timeperf/update_weights,timeperf/rollout
1,0.47344,0.50818,446.98,29.531,7.4129,28.302
2,0.49844,0.48744,461.96,29.749,7.4217,0.027968
3,0.51719,0.47248,457.5,28.574,7.3983,0.037346
4,0.54375,0.51094,456.75,25.715,6.233,0.039736
5,0.48203,0.53359,469.65,26.966,6.0422,0.041554
6,0.45156,0.39219,485.16,27.134,6.9607,0.03559
7,0.49453,0.51484,471.2,26.814,6.3481,0.04694
8,0.51094,0.49687,444.86,26.449,7.2992,0.045548
9,0.53359,0.43906,457.27,27.214,7.2382,0.035325
10,0.39219,0.46406,497.84,27.55,7.0355,0.0406
11,0.51484,0.49453,468.11,26.698,7.0711,0.047686
12,0.49687,0.46406,454.85,26.255,7.1637,0.04526
13,0.43906,0.4875,457.76,27.506,7.3268,0.056706
14,0.46406,0.53281,478.21,26.926,7.2354,0.043773
15,0.49453,0.45312,449.33,25.98,7.0973,0.045141
16,0.46406,0.475,475.08,26.362,6.9514,0.046726
17,0.4875,0.46641,464.9,26.813,7.072,0.04804
18,0.53281,0.49219,445.46,26.639,7.3978,0.042914
19,0.45312,0.52656,473.3,27.137,6.952,0.044317
20,0.475,0.53828,479.58,26.778,7.245,0.04454
21,0.46641,0.51172,486.74,26.982,6.9934,0.041733
22,0.49219,0.51016,475.63,26.782,6.9758,0.046316
23,0.52656,0.51094,462.95,26.585,7.1412,0.046229
24,0.53828,0.50156,456.06,25.656,6.8622,0.053306
25,0.51172,0.52187,446.28,26.334,7.1258,0.041598
26,0.51016,0.54609,445.41,25.451,6.9445,0.043353
27,0.51094,0.44609,462.51,26.723,7.1315,0.043665
28,0.50156,0.47578,459.25,25.746,6.8621,0.038127
29,0.52188,0.48437,479.79,26.803,6.7084,0.04714
30,0.54609,0.49375,450.67,26.403,6.728,0.041735
31,0.44609,0.5125,482.77,26.793,6.8434,0.041733
32,0.47578,0.54844,498.97,26.385,7.1109,0.042799
33,0.48438,0.47891,463.31,26.843,6.8639,0.045059
34,0.49375,0.51406,468.39,26.6,6.5759,0.050663
35,0.5125,0.46172,461.57,26.714,7.088,0.036496
36,0.54844,0.475,464.02,26.846,7.2179,0.042955
37,0.47891,0.48203,472.59,27.199,7.0117,0.035517
38,0.51406,0.47422,468.84,26.16,7.1114,0.033559
39,0.46172,0.47344,474.68,27.194,7.3212,0.048
40,0.475,0.38281,482.76,26.619,7.0738,0.045811
41,0.48203,0.48281,472.8,26.368,6.7384,0.28059
42,0.47422,0.51328,478.62,27.174,7.1698,0.038116
43,0.47344,0.47266,481.42,27.151,7.1805,0.037228
44,0.38281,0.51562,494.35,33.56,7.2933,0.038615
45,0.48281,0.55469,480.39,27.252,7.2838,0.047594
46,0.51328,0.49141,461.55,25.728,6.7404,0.033765
47,0.47266,0.56406,483.71,27.562,6.9986,0.04449
48,0.51562,0.56406,464.09,25.924,7.1668,0.040505
49,0.55469,0.50625,436.29,25.734,7.1718,0.034135
50,0.49141,0.49453,475.91,26.867,6.9908,0.04177
51,0.56406,0.47813,444.49,25.985,7.2025,0.043065
52,0.56406,0.47422,460.66,26.361,7.1024,0.034096
53,0.50625,0.46172,471.07,26.613,6.8177,0.035657
54,0.49453,0.45859,473.53,26.446,7.1751,0.035825
55,0.47813,0.46016,468.6,26.379,6.7412,0.03433
56,0.47422,0.43281,464.44,25.952,6.7696,0.032672
57,0.46172,0.44141,487.66,27.15,6.7835,0.037978
58,0.45859,0.49219,473.88,26.145,6.8348,0.047531
59,0.46016,0.44922,479.17,26.95,6.9183,0.042121
60,0.43281,0.55,497.46,27.852,6.9808,0.04113
61,0.44141,0.56484,469.69,27.323,7.0244,0.045436
62,0.49219,0.46172,483.34,26.531,7.0285,0.052482
63,0.44922,0.45937,479.74,26.33,6.8648,0.038704
64,0.55,0.48516,466.3,27.04,7.3616,0.040545
65,0.56484,0.45703,461.1,26.875,6.9595,0.037936
66,0.46172,0.49141,476.15,26.995,6.8872,0.046958
67,0.45937,0.48359,473.99,26.44,6.9434,0.043841
68,0.48516,0.48125,485.59,27.556,7.7086,0.043289
69,0.45703,0.47109,467.14,26.655,7.6319,0.046358
70,0.49141,0.46172,468.16,27.118,6.8929,0.045061
71,0.48359,0.52813,454.58,26.899,6.9875,0.044398
72,0.48125,0.44766,477.99,26.547,6.9504,0.047464
73,0.47109,0.4375,465.4,27.205,7.1124,0.054578
74,0.46172,0.42656,481.51,27.212,7.0838,0.041367
75,0.52812,0.52969,462.9,26.783,7.3438,0.044788
76,0.44766,0.45859,491.21,27.306,7.1388,0.044436
77,0.4375,0.47187,485.32,27.328,7.0123,0.045929
78,0.42656,0.48203,473.95,27.201,7.1014,0.034968
79,0.52969,0.51797,471.98,26.763,7.1676,0.049406
80,0.45859,0.53438,483.96,27.451,7.1941,0.04594
81,0.47188,0.49062,463.45,26.027,7.1306,0.045815
82,0.48203,0.44297,480.85,34.677,7.1357,0.045751
