step,ppo_actor/task_reward/avg,rollout/reward,ppo_actor/seq_len/avg,timeperf/train_step,timeperf/update_weights,timeperf/rollout
109,0.44141,0.39141,494.33,44.544,34.067,0.033395
110,0.44453,0.42266,485.28,44.626,36.351,0.040056
111,0.38125,0.34766,500.5,35.64,35.011,0.038144
112,0.43359,0.47266,497.05,35.227,33.747,0.039157
113,0.39141,0.44141,481.66,34.374,35.666,0.037334
114,0.42266,0.39531,499.68,35.364,35.814,0.037042
115,0.34766,0.43359,511.15,38.796,33.976,0.044454
116,0.47266,0.38672,479.61,34.823,35.903,0.032831
117,0.44141,0.40234,490.17,35.099,36.079,0.031334
118,0.39531,0.40703,506.51,44.726,34.748,0.043201
119,0.43359,0.45,508.66,35.586,34.629,0.043755
120,0.38672,0.43047,514.3,39.04,35.199,0.039478
121,0.40234,0.46094,489.09,34.916,34.925,0.03893
122,0.40703,0.40469,479.56,35.038,33.953,0.034578
123,0.45,0.48672,462.65,34.369,33.073,0.031988
124,0.43047,0.4125,469.61,34.638,34.752,0.029433
125,0.46094,0.45781,484.29,34.75,34.974,0.031558
126,0.40469,0.44297,493.0,35.017,35.979,0.038858
127,0.48672,0.41719,480.98,34.726,34.795,0.036394
128,0.4125,0.45391,494.05,35.169,35.79,0.039755
129,0.45781,0.44922,498.19,35.333,33.572,0.038746
130,0.44297,0.40859,493.74,37.065,34.124,0.038021
131,0.41719,0.50078,502.05,41.065,34.784,0.039137
132,0.45391,0.35312,492.94,37.328,33.282,0.037886
133,0.44922,0.33984,497.44,35.2,33.991,0.35051
134,0.40859,0.4625,489.93,34.89,36.093,0.03842
135,0.50078,0.39687,481.56,34.557,34.351,0.03875
136,0.35313,0.46328,502.01,39.078,34.856,0.041551
137,0.33984,0.475,502.33,38.705,36.103,0.040059
138,0.4625,0.47109,480.73,34.375,35.662,0.032824
139,0.39687,0.45547,491.55,34.334,35.013,0.035798
140,0.46328,0.3875,488.88,34.335,35.12,0.030689
141,0.475,0.46797,480.59,34.126,36.147,0.036489
142,0.47109,0.39141,464.26,33.552,33.815,0.037031
143,0.45547,0.42578,482.81,34.428,35.513,0.037684
144,0.3875,0.40938,492.45,34.468,35.938,0.040076
145,0.46797,0.38828,483.4,34.591,36.131,0.040913
146,0.39141,0.47344,513.42,35.219,33.897,0.037915
147,0.42578,0.42813,497.41,34.853,33.945,0.042246
148,0.40938,0.44922,505.89,35.143,33.789,0.033674
149,0.38828,0.44531,492.84,34.48,35.311,0.038808
150,0.47344,0.48437,482.13,34.223,35.132,0.038316
151,0.42812,0.41562,500.29,35.08,33.602,0.032756
152,0.44922,0.38516,490.84,34.587,33.531,0.040643
153,0.44531,0.41016,486.65,35.326,35.183,0.04594
154,0.48438,0.4375,485.54,39.571,33.289,0.035521
155,0.41563,0.46328,486.7,35.524,35.958,0.031022
156,0.38516,0.45938,500.48,34.911,34.13,0.040865
157,0.41016,0.41641,503.01,35.209,34.54,0.039403
158,0.4375,0.38438,478.87,35.481,35.701,0.040072
159,0.46328,0.42344,468.88,34.564,36.295,0.033599
160,0.45937,0.39922,481.64,35.843,34.819,0.039771
161,0.41641,0.50625,503.38,36.273,34.126,0.04577
162,0.38438,0.44375,507.76,36.174,33.413,0.037677
163,0.42344,0.50078,491.66,35.778,32.385,0.045358
164,0.39922,0.43437,491.51,39.341,34.457,0.037153
165,0.50625,0.43516,462.25,33.897,34.269,0.033706
