step,ppo_actor/task_reward/avg,rollout/reward,ppo_actor/seq_len/avg,timeperf/train_step,timeperf/update_weights,timeperf/rollout
109,0.0,0.0,492.55,32.767,40.461,0.032733
110,0.0,0.0,445.03,32.465,39.452,0.033052
111,0.0,0.0,444.21,32.65,39.129,0.30921
112,0.0,0.0,447.39,31.752,40.206,0.021488
113,0.0,0.0,450.55,31.589,40.714,0.035422
114,0.0,0.0,419.5,24.724,41.424,0.036257
115,0.0,0.0,465.84,31.714,40.667,0.036491
116,0.0,0.0,503.29,32.469,40.782,0.035366
117,0.0,0.0,563.79,33.972,119.32,0.033673
118,0.0,0.0,580.22,39.083,119.84,0.037894
119,0.0,0.0,608.06,39.278,67.072,0.037271
120,0.0,0.0,586.6,39.686,39.216,0.032227
121,0.0,0.0,589.48,39.365,80.6,0.034778
122,0.0,0.0,587.73,39.464,49.33,0.036051
123,0.0,0.0,597.63,35.887,80.314,0.0363
124,0.0,0.0,593.42,35.514,42.003,0.030176
125,0.0,0.0,606.83,35.828,40.712,0.037465
126,0.0,0.0,603.06,34.93,70.628,0.035071
127,0.0,0.0,594.91,35.085,38.601,0.031917
128,0.0,0.0,596.05,35.359,40.203,0.03681
129,0.0,0.0,594.8,35.413,56.496,0.035195
130,0.0,0.0,597.7,35.57,40.588,0.027275
131,0.0,0.0,593.08,35.485,65.602,0.036328
132,0.0,0.0,596.03,35.019,39.464,0.022976
133,0.0,0.0,595.16,35.316,76.116,0.035919
134,0.0,0.0,598.73,35.47,38.509,0.038159
135,0.0,0.0,598.34,34.266,38.418,0.043837
136,0.0,0.0,591.4,34.825,38.792,0.033452
137,0.0,0.0,605.03,34.948,38.618,0.026587
138,0.0,0.0,593.16,35.035,41.329,0.035509
139,0.0,0.0,606.91,34.047,40.573,0.039599
140,0.0,0.0,593.67,34.993,39.113,0.026357
141,0.0,0.0,597.8,34.913,40.676,0.037858
142,0.0,0.0,594.48,34.929,40.938,0.045184
143,0.0,0.0,602.4,34.75,41.955,0.038889
144,0.0,0.0,601.73,34.643,40.372,0.027699
145,0.0,0.0,594.73,34.537,39.662,0.03659
146,0.0,0.0,602.1,34.579,40.268,0.037216
147,0.0,0.0,601.89,35.042,38.78,0.043377
148,0.0,0.0,616.17,35.682,39.206,0.040232
149,0.0,0.0,606.59,34.775,38.801,0.037879
150,0.0,0.0,603.02,35.024,38.693,0.032038
151,0.0,0.0,604.11,35.176,38.256,0.026201
