step,ppo_actor/task_reward/avg,rollout/reward,ppo_actor/seq_len/avg,timeperf/train_step,timeperf/update_weights,timeperf/rollout
1,0.36719,0.38586,499.15,33.801,42.89,30.634
2,0.37734,0.39974,512.66,33.097,41.463,0.031526
3,0.4,0.3427,511.56,32.687,40.543,0.036678
4,0.41484,0.40145,508.69,32.582,41.567,0.035977
5,0.37266,0.41563,515.85,32.739,41.297,0.043226
6,0.325,0.28203,536.08,36.389,38.318,0.038074
7,0.38594,0.40547,517.08,33.323,41.361,0.036084
8,0.41016,0.40234,487.98,26.887,41.229,0.032068
9,0.41563,0.32187,511.08,33.233,39.234,0.043791
10,0.28203,0.36172,538.65,36.126,40.234,0.033776
11,0.40547,0.41797,513.62,33.266,40.61,0.046465
12,0.40234,0.34766,501.95,32.012,40.27,0.04012
13,0.32188,0.40938,508.57,32.831,39.472,0.04815
14,0.36172,0.43281,517.38,32.183,38.926,0.048898
15,0.41797,0.3625,498.88,32.497,35.342,0.035783
16,0.34766,0.3375,520.58,31.871,35.053,0.043699
17,0.40938,0.33984,507.74,32.251,34.275,0.035494
18,0.43281,0.36094,494.26,27.764,36.029,0.045997
19,0.3625,0.4125,515.01,34.335,36.751,0.05157
20,0.3375,0.43047,522.58,33.475,37.17,0.045762
21,0.33984,0.42656,531.43,33.086,34.876,0.043776
22,0.36094,0.44375,516.95,31.494,35.558,0.035771
23,0.4125,0.39922,504.43,30.285,35.99,0.046818
24,0.43047,0.38906,500.86,30.295,34.836,0.049266
25,0.42656,0.41172,494.66,33.009,36.057,0.047654
26,0.44375,0.41797,490.84,32.495,34.898,0.046821
27,0.39922,0.32109,507.75,33.26,36.639,0.042413
28,0.38906,0.36484,500.17,32.132,35.96,0.051064
29,0.41172,0.36563,521.49,36.045,36.149,0.039017
30,0.41797,0.39219,495.96,27.133,35.086,0.032488
31,0.32109,0.42734,525.63,32.866,34.888,0.047567
32,0.36484,0.41875,534.49,36.332,35.327,0.040897
33,0.36562,0.38125,507.96,32.609,35.924,0.042891
34,0.39219,0.43281,508.53,32.74,35.956,0.046366
35,0.42734,0.36797,503.01,33.27,33.866,0.036119
36,0.41875,0.35547,505.36,32.542,34.524,0.047146
37,0.38125,0.37031,511.68,32.455,34.135,0.033147
38,0.43281,0.34922,506.42,33.2,35.165,0.036457
39,0.36797,0.36641,501.26,27.425,36.269,0.040214
40,0.35547,0.32734,518.71,32.087,35.351,0.050163
41,0.37031,0.39297,516.31,33.02,35.881,0.21033
42,0.34922,0.43125,519.08,33.631,34.936,0.046721
43,0.36641,0.38516,512.61,32.947,35.933,0.037989
44,0.32734,0.43203,522.8,33.16,36.848,0.035054
45,0.39297,0.45625,519.17,33.089,35.697,0.051075
46,0.43125,0.38281,489.45,26.906,35.5,0.037925
47,0.38516,0.48359,521.4,32.63,36.159,0.040131
48,0.36641,0.37676,499.86,27.746,41.719,30.99
49,0.37266,0.38925,512.36,32.495,41.307,0.037595
50,0.40156,0.3397,511.57,32.419,39.564,0.030007
51,0.4125,0.39974,507.99,32.022,39.72,0.039059
52,0.35703,0.42109,515.53,31.754,41.29,0.043135
53,0.31875,0.28281,536.08,35.595,40.406,0.042642
54,0.38828,0.41406,515.75,32.67,40.893,0.03876
55,0.39375,0.40312,488.12,26.484,37.748,0.044391
56,0.42109,0.32578,512.02,32.009,37.501,0.044084
57,0.28281,0.34063,537.78,35.275,39.762,0.048373
58,0.41406,0.42891,514.06,31.369,38.326,0.043213
59,0.40312,0.35391,500.21,31.528,37.716,0.036256
60,0.32578,0.42734,507.77,31.749,37.749,0.038722
61,0.34062,0.43281,518.19,31.936,38.848,0.040584
62,0.42891,0.35938,497.28,31.294,38.489,0.032142
63,0.35391,0.33281,519.98,31.659,36.448,0.034207
64,0.42734,0.33516,507.51,31.64,34.911,0.043662
65,0.43281,0.37109,495.08,26.434,35.648,0.044129
66,0.35938,0.41484,515.12,32.395,35.397,0.045849
67,0.33281,0.43047,523.42,31.621,34.199,0.034649
68,0.33516,0.42734,533.1,34.018,36.69,0.049349
69,0.37109,0.44375,516.45,33.328,37.357,0.038296
70,0.41484,0.40625,503.79,31.592,34.596,0.037232
71,0.43047,0.38906,500.35,32.179,34.979,0.039599
72,0.42734,0.41953,494.63,27.547,37.101,0.041036
73,0.44375,0.425,490.76,26.981,34.426,0.042208
74,0.40625,0.31172,508.02,32.122,33.243,0.040857
75,0.38906,0.36563,499.92,33.287,33.894,0.032254
76,0.41953,0.37344,519.86,33.643,34.819,0.049304
77,0.425,0.37734,494.84,27.677,34.829,0.035738
78,0.31172,0.42656,525.36,32.147,36.27,0.044035
79,0.36562,0.43047,534.5,33.028,34.65,0.040912
80,0.37344,0.38203,506.86,32.706,34.582,0.034494
81,0.37734,0.425,507.58,33.352,35.331,0.040828
82,0.42656,0.36172,502.46,32.679,33.343,0.046156
83,0.43047,0.37109,505.35,32.317,37.362,0.041555
84,0.38203,0.37109,512.25,32.311,35.61,0.04293
85,0.425,0.36172,505.3,32.69,36.761,0.046012
86,0.36172,0.36719,500.56,31.491,37.785,0.048265
87,0.37109,0.32266,517.66,32.451,35.062,0.045972
88,0.37109,0.4,514.46,33.108,36.149,0.29862
89,0.36172,0.40703,518.24,32.957,34.19,0.047728
90,0.36719,0.38125,512.5,32.495,33.465,0.035922
91,0.32266,0.43594,522.07,32.5,35.636,0.047878
