step,ppo_actor/task_reward/avg,rollout/reward,ppo_actor/seq_len/avg,timeperf/train_step,timeperf/update_weights,timeperf/rollout
1,0.36797,0.39157,500.15,31.372,7.0182,30.402
2,0.37578,0.37034,512.05,31.392,6.7182,0.021569
3,0.39766,0.34931,511.41,31.205,6.5621,0.044595
4,0.40938,0.39297,509.2,32.268,6.9365,0.043423
5,0.38047,0.41484,516.14,32.24,6.8747,0.038953
6,0.31797,0.28984,534.96,35.558,6.7034,0.044131
7,0.38438,0.38906,517.51,30.976,6.5174,0.03479
8,0.39297,0.41641,488.43,25.649,6.3943,0.041273
9,0.41484,0.32812,510.93,31.358,6.557,0.038591
10,0.28984,0.35547,538.57,33.665,6.5048,0.032452
11,0.38906,0.42109,514.1,31.674,6.9822,0.037571
12,0.41641,0.34844,500.19,32.496,7.053,0.044991
13,0.32812,0.41328,507.37,32.008,6.7336,0.041471
14,0.35547,0.44219,517.1,32.093,6.7628,0.041364
15,0.42109,0.35547,498.02,30.901,6.7574,0.035186
16,0.34844,0.33672,520.82,31.297,6.6412,0.043451
17,0.41328,0.34297,508.81,32.185,6.7777,0.033025
18,0.44219,0.38359,492.73,25.815,6.6658,0.040422
19,0.35547,0.43359,514.87,31.739,6.8864,0.037803
20,0.33672,0.45,522.31,31.778,6.7242,0.046072
21,0.34297,0.42578,530.36,31.435,6.6559,0.037274
22,0.38359,0.44922,512.21,31.126,6.767,0.040195
23,0.43359,0.40625,501.25,31.494,6.7962,0.040056
24,0.45,0.40859,494.99,26.457,6.7322,0.045948
25,0.42578,0.43359,491.86,26.191,6.7184,0.043991
26,0.44922,0.43281,486.89,26.135,6.6916,0.045777
27,0.40625,0.32812,504.34,31.759,6.9376,0.044206
28,0.40859,0.37188,495.96,31.737,6.8588,0.041092
29,0.43359,0.36953,515.43,32.16,6.9108,0.040007
30,0.43281,0.40156,493.23,26.802,6.9011,0.034551
31,0.32812,0.43828,521.04,32.384,6.8499,0.032949
32,0.37187,0.43203,530.8,32.562,6.8974,0.045702
33,0.36953,0.38359,503.47,31.632,8.1211,0.039952
34,0.40156,0.43359,502.13,31.571,7.6108,0.034772
35,0.43828,0.36406,497.84,31.962,6.869,0.04417
36,0.43203,0.37656,498.95,31.666,6.9065,0.052238
37,0.38359,0.39062,505.98,31.856,6.8464,0.046382
38,0.43359,0.36094,501.12,31.515,6.8602,0.046512
39,0.36406,0.36953,497.76,27.017,8.6289,0.043277
40,0.37656,0.34922,513.81,31.601,8.0863,0.045307
41,0.39062,0.41172,511.45,31.527,7.5235,0.28013
42,0.36094,0.43516,513.3,34.775,6.8049,0.042356
43,0.36953,0.41094,504.85,33.642,7.2256,0.043976
44,0.34922,0.44844,516.06,31.218,6.833,0.04456
45,0.41172,0.46719,510.7,33.267,7.223,0.047782
46,0.43516,0.39688,482.73,27.845,7.6419,0.044459
47,0.41094,0.49375,510.22,31.725,6.7732,0.047869
48,0.44844,0.50156,492.24,31.042,6.7907,0.030472
49,0.46719,0.43984,464.39,25.444,6.7572,0.037742
50,0.39687,0.43672,502.05,31.277,6.6029,0.039541
51,0.49375,0.41719,472.62,25.636,6.6506,0.04448
52,0.50156,0.42656,482.91,26.003,6.7298,0.031354
53,0.43984,0.37734,491.35,26.117,6.783,0.039814
54,0.43672,0.36641,500.19,31.373,6.6972,0.047305
55,0.41719,0.37891,488.45,26.154,6.6898,0.034563
56,0.42656,0.38203,485.14,25.972,6.6918,0.042517
57,0.37734,0.375,506.94,31.03,6.6526,0.036985
58,0.36641,0.42188,499.2,31.463,6.5313,0.031332
59,0.37891,0.37969,497.17,26.182,6.7219,0.043663
60,0.38203,0.44141,517.95,31.804,6.6345,0.044642
61,0.375,0.47812,487.04,27.206,7.1112,0.043008
62,0.42188,0.375,499.03,32.312,6.7582,0.04005
63,0.37969,0.37969,500.13,31.151,6.7461,0.039319
64,0.44141,0.40703,492.69,26.584,7.2798,0.041016
65,0.47813,0.3875,487.29,27.28,7.003,0.037614
66,0.375,0.43594,492.07,26.996,7.1992,0.047199
67,0.37969,0.42422,493.38,26.461,6.8105,0.034185
68,0.40703,0.42969,506.16,32.555,7.4032,0.045823
69,0.3875,0.43906,486.67,27.189,7.1899,0.046025
70,0.43594,0.38281,487.09,25.95,6.6929,0.043927
71,0.42422,0.45391,477.53,26.26,7.1611,0.048588
72,0.42969,0.39141,497.47,31.898,6.9759,0.043702
73,0.43906,0.38906,479.46,26.24,6.9005,0.035126
74,0.38281,0.35313,501.07,31.505,6.7318,0.036092
75,0.45391,0.45469,481.43,25.93,6.87,0.042768
76,0.39141,0.37656,508.49,33.021,7.3278,0.049333
77,0.38906,0.42734,499.82,33.696,7.1848,0.044013
78,0.35313,0.40547,489.21,26.06,6.6974,0.043544
79,0.45469,0.46016,487.36,26.06,6.6565,0.045398
80,0.37656,0.49297,505.24,31.158,6.6391,0.036279
81,0.42734,0.43281,490.05,26.232,7.0769,0.039326
82,0.40547,0.39219,500.1,32.402,7.1144,0.036411
83,0.46016,0.4,467.73,26.566,7.1711,0.033782
84,0.49297,0.34609,472.53,25.81,6.6758,0.039203
85,0.43281,0.40859,469.9,25.583,6.718,0.044246
86,0.39219,0.45937,469.38,25.401,6.7017,0.044403
87,0.4,0.34922,484.69,25.622,6.6311,0.29231
88,0.34609,0.38203,513.31,32.419,6.9485,0.044864
89,0.40859,0.44922,482.27,25.857,6.8577,0.032326
90,0.45937,0.40469,470.82,25.793,7.4698,0.032611
91,0.34922,0.43594,517.15,32.263,7.0592,0.047661
92,0.38203,0.43281,474.23,25.9,7.066,0.032694
93,0.44922,0.40547,488.16,27.154,7.4035,0.030851
94,0.40469,0.42656,492.44,27.256,7.1231,0.039504
95,0.43594,0.42734,493.06,26.877,7.2069,0.034107
96,0.43281,0.38125,481.36,26.866,6.967,0.029255
97,0.40547,0.37578,482.77,26.37,6.8677,0.048144
98,0.42656,0.41328,480.79,26.695,7.1417,0.048652
99,0.42734,0.39453,490.22,26.142,6.608,0.046076
100,0.38125,0.43281,502.84,31.248,6.6965,0.031077
101,0.37578,0.39922,485.82,26.206,6.7994,0.042885
102,0.41328,0.46172,491.81,26.183,6.7624,0.031983
103,0.39453,0.44375,494.39,31.531,7.0443,0.038962
104,0.43281,0.42969,473.89,26.369,6.6706,0.044076
105,0.39922,0.43516,480.86,26.177,6.926,0.038489
106,0.46172,0.41641,474.61,25.961,6.9265,0.04523
107,0.44375,0.37344,475.97,26.552,7.0002,0.047248
108,0.42969,0.39531,491.36,27.323,7.2599,0.034109
109,0.43516,0.38203,485.56,27.019,6.9771,0.046345
110,0.41641,0.40859,484.85,26.5,7.0758,0.045775
111,0.37344,0.36484,494.9,32.096,7.0337,0.039798
112,0.39531,0.43516,496.38,32.953,7.5209,0.042974
113,0.38203,0.42266,470.17,26.05,7.1841,0.038291
114,0.40859,0.36641,491.81,27.841,7.17,0.043262
115,0.36484,0.40391,502.88,33.078,7.2531,0.046082
116,0.43516,0.37109,473.74,26.344,7.1154,0.036411
117,0.42266,0.38906,482.35,26.869,7.214,0.044368
118,0.36641,0.38438,501.61,32.441,7.12,0.043865
119,0.40391,0.44922,497.38,32.73,7.1341,0.04835
120,0.37109,0.41172,509.92,33.57,7.0314,0.044355
121,0.38906,0.46719,483.97,26.324,7.046,0.03553
122,0.38438,0.40859,471.86,25.893,6.9778,0.043153
123,0.44922,0.47266,451.99,26.285,7.046,0.033324
124,0.41172,0.40703,456.94,26.762,6.9405,0.036876
125,0.46719,0.45625,475.41,26.204,7.1283,0.038906
126,0.40859,0.43203,481.33,26.087,6.7668,0.048821
127,0.47266,0.39609,470.02,26.728,7.0657,0.046436
128,0.40703,0.43906,486.11,26.382,7.0489,0.050276
129,0.45625,0.42422,490.14,26.527,6.8816,0.043001
130,0.43203,0.40156,480.9,26.507,7.0358,0.035927
131,0.39609,0.47344,494.1,32.76,7.2748,0.046883
132,0.43906,0.35156,479.86,26.043,6.7997,0.041715
133,0.42422,0.35469,491.18,26.294,6.848,0.29998
134,0.40156,0.46172,485.93,26.588,6.9261,0.049675
135,0.47344,0.38203,473.12,27.103,7.1425,0.042368
136,0.35156,0.43906,491.73,26.859,7.1311,0.049916
137,0.35469,0.45703,496.42,32.032,6.8584,0.042781
138,0.46172,0.46797,467.7,26.044,6.9106,0.043228
139,0.38203,0.44062,483.38,26.157,6.6857,0.042114
140,0.43906,0.36094,478.51,26.45,7.0109,0.041962
141,0.45703,0.45703,470.66,26.027,6.9915,0.043939
142,0.46797,0.38906,450.84,26.415,7.0645,0.039324
143,0.44063,0.42578,479.18,26.332,6.9446,0.047243
144,0.36094,0.39922,480.8,26.284,6.9051,0.036855
145,0.45703,0.36563,474.21,26.159,6.8531,0.044322
146,0.38906,0.44141,504.67,31.316,6.6677,0.039877
147,0.42578,0.41719,484.14,25.95,6.7424,0.046451
148,0.39922,0.45156,491.6,26.382,6.7033,0.045773
149,0.36562,0.44609,483.2,26.163,6.6952,0.044986
150,0.44141,0.44453,471.22,25.429,6.6058,0.048817
151,0.41719,0.40625,489.9,42.853,7.4808,0.046384
152,0.45156,0.38203,477.99,26.212,6.816,0.048576
153,0.44609,0.40156,477.26,25.862,6.731,0.038557
154,0.44453,0.42188,480.87,26.361,6.9376,0.047313
155,0.40625,0.45625,476.01,26.348,6.8758,0.047235
156,0.38203,0.46719,492.3,31.729,6.93,0.041101
157,0.40156,0.39922,491.01,26.619,7.0113,0.04764
158,0.42188,0.37734,463.14,25.785,6.9019,0.0358
159,0.45625,0.40391,455.5,25.415,6.9055,0.041727
160,0.46719,0.41016,473.1,26.011,6.8027,0.048489
161,0.39922,0.47734,492.95,26.141,6.6255,0.06102
162,0.37734,0.44922,499.75,30.929,6.7405,0.03882
163,0.40391,0.48359,484.26,26.274,6.8309,0.041034
164,0.41016,0.41406,480.32,25.921,6.7764,0.045005
165,0.47734,0.41094,456.16,26.017,9.178,0.044446
166,0.44922,0.41797,475.85,33.103,6.7879,0.042742
167,0.48359,0.43047,446.49,24.599,6.7774,0.043678
