step,ppo_actor/task_reward/avg,rollout/reward,ppo_actor/seq_len/avg,timeperf/train_step,timeperf/update_weights,timeperf/rollout
1,0.36406,0.38829,499.45,38.219,41.794,30.482
2,0.37656,0.37936,512.34,38.602,42.953,0.030661
3,0.39375,0.34783,511.99,35.27,40.758,0.04498
4,0.41875,0.40078,508.39,35.155,40.496,0.035786
5,0.37344,0.41016,514.57,35.412,39.964,0.038984
6,0.33516,0.2875,534.03,38.606,40.286,0.042802
7,0.37187,0.40156,516.51,35.148,40.002,0.035012
8,0.40078,0.40547,487.99,34.445,41.567,0.031962
9,0.41016,0.30859,512.06,38.344,41.22,0.037347
10,0.2875,0.35313,538.4,36.221,39.339,0.030621
11,0.40156,0.41172,513.62,35.277,41.765,0.03046
12,0.40547,0.34297,502.74,38.603,41.442,0.03163
13,0.30859,0.41562,509.37,38.67,40.329,0.031864
14,0.35313,0.43047,519.31,38.683,38.993,0.028849
15,0.41172,0.36563,499.5,35.073,39.048,0.047122
16,0.34297,0.33672,520.82,35.405,40.818,0.033182
17,0.41563,0.33672,508.92,35.45,37.813,0.030654
18,0.43047,0.35469,495.4,34.692,39.5,0.046933
19,0.36562,0.41641,516.25,36.021,39.164,0.043387
20,0.33672,0.42969,523.06,38.908,41.111,0.035855
21,0.33672,0.41094,533.18,38.786,41.097,0.034223
22,0.35469,0.42812,518.4,35.475,41.197,0.039675
23,0.41641,0.38984,505.59,38.958,39.855,0.041405
24,0.42969,0.38203,501.19,35.687,42.184,0.041493
25,0.41094,0.41484,496.0,34.943,39.908,0.031415
26,0.42812,0.42188,493.65,38.838,40.992,0.040967
27,0.38984,0.31328,510.04,38.919,40.949,0.042381
28,0.38203,0.35781,501.41,39.271,42.79,0.044117
29,0.41484,0.3625,522.25,38.712,41.656,0.038184
30,0.42188,0.38125,498.37,38.912,41.968,0.030656
31,0.31328,0.42422,527.45,39.819,41.525,0.049415
32,0.35781,0.39844,536.21,38.772,40.899,0.043101
33,0.3625,0.35859,507.37,35.409,42.352,0.04498
34,0.38125,0.41016,510.04,35.505,42.459,0.032209
35,0.42422,0.35703,504.82,38.676,42.497,0.045971
36,0.39844,0.35078,507.71,35.445,43.07,0.034766
37,0.35859,0.35547,515.52,35.51,42.359,0.041118
38,0.37813,0.38601,499.62,35.777,43.528,30.071
39,0.36328,0.38202,512.21,35.738,42.595,0.02325
40,0.39375,0.33884,512.46,35.47,39.902,0.040026
41,0.39922,0.39922,507.86,34.82,39.574,0.045235
42,0.37031,0.41328,515.54,38.27,40.169,0.033871
43,0.33281,0.2875,535.49,38.783,42.681,0.05039
44,0.36953,0.4,517.13,35.271,42.431,0.039195
45,0.39922,0.40781,488.66,34.356,41.088,0.044854
46,0.41328,0.30781,510.63,35.24,41.024,0.041728
47,0.2875,0.35078,537.81,37.965,41.483,0.031095
48,0.4,0.41094,512.78,38.172,41.269,0.044833
49,0.40781,0.35,501.65,34.749,42.303,0.028968
50,0.30781,0.40938,508.14,38.174,42.426,0.04238
51,0.35078,0.43828,518.23,35.314,41.634,0.047423
52,0.41094,0.36719,497.57,34.883,42.15,0.042777
53,0.35,0.35234,519.49,37.921,41.529,0.035832
54,0.40938,0.33906,508.13,38.054,41.072,0.035455
55,0.43828,0.37422,493.9,34.556,41.5,0.042701
56,0.36719,0.43125,514.19,35.285,40.001,0.046469
57,0.35234,0.45,521.6,38.519,42.257,0.045545
58,0.33906,0.41797,532.45,37.967,40.178,0.041302
59,0.37422,0.44297,517.09,38.202,41.399,0.037749
60,0.43125,0.39219,504.89,34.893,39.81,0.032831
61,0.45,0.40078,500.08,35.513,41.33,0.03913
62,0.41797,0.41875,494.9,38.809,44.197,0.047639
63,0.44297,0.41953,491.59,34.69,40.11,0.039374
64,0.39219,0.32187,508.33,35.506,43.428,0.03754
65,0.40078,0.36563,499.08,38.509,41.596,0.040003
66,0.41875,0.37188,519.21,35.668,40.472,0.037885
67,0.41953,0.39922,496.08,38.159,39.434,0.032805
68,0.32188,0.42422,523.53,37.943,39.317,0.043976
69,0.36562,0.42656,534.53,38.213,40.521,0.046698
70,0.37187,0.37656,505.19,38.37,41.713,0.038838
71,0.39922,0.43359,506.08,38.708,39.818,0.034074
72,0.42422,0.37109,501.16,38.245,39.642,0.034337
73,0.42656,0.36719,504.92,38.545,40.064,0.033617
74,0.37656,0.375,510.47,35.338,42.62,0.040839
75,0.43359,0.3625,505.58,38.759,40.791,0.043104
76,0.37109,0.37266,500.97,34.75,39.347,0.041436
77,0.36719,0.32813,518.74,38.618,40.139,0.046235
78,0.375,0.39453,514.71,38.754,39.656,0.2997
79,0.3625,0.41953,519.09,38.679,40.548,0.047536
80,0.37266,0.39375,511.75,38.658,42.09,0.048891
81,0.32812,0.44062,520.6,36.057,40.778,0.046562
82,0.39453,0.47109,518.22,38.168,40.695,0.032892
83,0.41953,0.38828,488.92,34.634,40.341,0.043526
84,0.39375,0.47422,519.0,38.588,39.872,0.043846
85,0.44063,0.475,502.44,35.396,39.915,0.030763
86,0.47109,0.43203,472.7,34.279,40.128,0.030584
87,0.38828,0.41484,508.07,35.364,42.383,0.046161
88,0.47422,0.40469,481.31,38.26,41.712,0.046508
89,0.475,0.4,494.84,34.843,40.922,0.047079
90,0.43203,0.36406,500.78,34.615,40.955,0.04109
91,0.41484,0.35781,508.99,34.913,41.055,0.041426
92,0.40469,0.35156,497.39,34.893,41.526,0.038643
93,0.4,0.37266,493.99,38.856,41.154,0.035115
94,0.36406,0.35625,517.4,38.633,42.308,0.036094
95,0.35781,0.38984,507.6,38.734,40.662,0.031604
96,0.35156,0.36953,505.46,34.847,41.229,0.047385
97,0.37266,0.42188,527.76,35.908,38.515,0.043548
98,0.35625,0.47891,496.13,35.095,40.759,0.040633
99,0.38984,0.36719,511.03,38.493,39.314,0.041618
100,0.36953,0.3625,512.16,38.19,39.349,0.042421
101,0.42188,0.40547,502.25,34.883,39.902,0.038535
102,0.47891,0.4,495.04,38.45,38.08,0.054698
103,0.36719,0.42734,503.0,34.857,38.112,0.030202
104,0.3625,0.40938,503.74,38.438,37.822,0.04602
105,0.40547,0.40547,515.67,38.289,37.567,0.044481
106,0.4,0.42813,494.76,34.706,35.479,0.032074
107,0.42734,0.37812,498.59,34.646,34.5,0.046253
108,0.40938,0.44297,487.38,39.138,36.353,0.042577
109,0.40547,0.39141,507.72,38.431,34.387,0.032046
110,0.42812,0.37891,489.47,34.237,34.938,0.040237
111,0.37813,0.36172,511.46,38.57,36.498,0.04351
112,0.44297,0.45,490.36,34.581,37.295,0.043436
113,0.39141,0.36953,517.95,38.16,36.445,0.044437
114,0.37891,0.42891,506.84,38.257,35.853,0.035176
115,0.36172,0.38672,500.58,34.69,33.619,0.034212
116,0.45,0.46094,498.0,38.354,35.084,0.03093
117,0.36953,0.475,511.35,38.289,35.876,0.031728
118,0.42891,0.42266,492.96,34.431,36.369,0.028441
119,0.38672,0.37188,506.75,34.943,33.97,0.048568
120,0.46094,0.40625,471.26,33.708,35.342,0.034731
121,0.475,0.33672,483.44,34.163,34.467,0.046749
122,0.42266,0.38828,477.16,34.001,34.833,0.046433
123,0.37187,0.45313,478.4,34.067,33.786,0.047678
124,0.40625,0.3375,492.59,38.34,35.117,0.31587
125,0.33672,0.38203,517.63,35.544,35.157,0.048886
126,0.38828,0.45781,487.88,34.548,34.559,0.036589
127,0.45312,0.38203,475.63,35.333,34.809,0.047994
128,0.3375,0.4375,521.93,38.257,36.64,0.056141
129,0.38203,0.42344,479.51,34.093,33.912,0.039006
130,0.45781,0.40156,495.45,34.097,33.654,0.050486
131,0.38203,0.42891,499.81,33.669,33.949,0.044766
132,0.4375,0.43203,499.05,33.858,34.853,0.043809
133,0.42344,0.375,491.7,37.441,33.388,0.039557
134,0.40156,0.37578,494.49,33.622,34.327,0.035304
135,0.42891,0.38906,491.32,33.644,36.461,0.043552
136,0.43203,0.37891,495.57,34.342,35.812,0.038851
137,0.375,0.42656,511.48,34.24,35.434,0.032243
138,0.37578,0.37656,494.23,33.709,33.784,0.046532
139,0.38906,0.45703,499.96,37.56,33.754,0.04672
140,0.37891,0.44531,500.98,33.428,33.091,0.035791
141,0.42656,0.41406,485.35,33.199,34.831,0.046462
142,0.37656,0.42109,493.92,33.596,33.434,0.043443
143,0.45703,0.42969,480.22,33.755,34.52,0.04473
144,0.44531,0.36641,484.06,34.074,35.172,0.043808
145,0.41406,0.39141,498.65,34.198,36.914,0.04709
146,0.42109,0.36797,496.34,33.824,36.879,0.043935
147,0.42969,0.39297,487.89,34.097,35.599,0.045029
148,0.36641,0.35156,503.17,34.211,33.734,0.041919
149,0.39141,0.43516,501.48,37.724,34.301,0.034344
150,0.36797,0.425,483.62,34.317,35.655,0.044578
151,0.39297,0.37578,501.68,34.989,36.335,0.039448
152,0.35156,0.40859,512.02,38.34,36.203,0.047006
153,0.43516,0.37891,482.9,33.598,34.614,0.041897
154,0.425,0.40391,490.44,33.535,34.149,0.033411
155,0.37578,0.39062,507.4,34.814,33.969,0.03302
156,0.40859,0.42656,509.94,34.65,33.899,0.044935
157,0.37891,0.40937,515.87,34.823,34.186,0.042012
158,0.40391,0.46016,489.93,33.942,33.686,0.03232
159,0.39062,0.39375,481.15,33.729,33.684,0.049992
160,0.42656,0.47109,463.22,33.2,33.85,0.035835
161,0.40938,0.38203,469.14,33.382,36.205,0.042362
162,0.46016,0.44375,487.05,34.086,34.975,0.045464
163,0.39375,0.41016,491.58,34.337,34.183,0.035361
164,0.47109,0.38594,480.82,33.128,36.255,0.032311
165,0.38203,0.41406,496.52,34.588,34.676,0.036408
166,0.44375,0.41641,497.41,37.69,34.865,0.042117
167,0.41016,0.38281,491.58,34.011,35.985,0.040552
168,0.38594,0.48438,502.56,34.213,34.184,0.048908
169,0.41406,0.32578,493.07,34.147,35.904,0.044656
170,0.41641,0.32969,497.88,34.451,35.056,0.22517
171,0.38281,0.43203,492.14,34.403,35.115,0.032801
172,0.48438,0.38984,481.52,33.972,33.912,0.044739
173,0.32578,0.43594,503.13,34.992,35.812,0.043575
174,0.32969,0.46406,501.71,34.852,37.05,0.045406
175,0.43203,0.47109,479.53,33.925,35.708,0.046807
176,0.38984,0.42734,492.94,34.198,34.225,0.031722
177,0.43594,0.35703,490.91,34.357,33.85,0.026807
178,0.46406,0.46094,480.31,33.989,34.398,0.046399
179,0.47109,0.35078,459.66,34.352,33.787,0.027326
180,0.42734,0.41094,484.3,34.36,34.969,0.050815
181,0.35703,0.38359,492.87,35.349,34.259,0.046653
182,0.46094,0.35625,480.05,35.004,34.51,0.035204
183,0.35078,0.44609,514.32,36.11,33.185,0.046832
184,0.41094,0.38359,493.88,38.884,34.529,0.05036
185,0.38359,0.42891,504.42,35.67,36.182,0.046196
186,0.35625,0.44453,491.82,39.118,36.979,0.044215
187,0.44609,0.44297,478.82,35.048,33.998,0.029974
188,0.38359,0.39531,501.51,35.919,34.071,0.045048
189,0.42891,0.37109,491.03,35.221,34.876,0.027067
190,0.44453,0.38437,487.1,34.846,35.655,0.034307
191,0.44297,0.41094,485.68,34.772,36.199,0.056847
192,0.39531,0.44922,488.07,35.096,37.097,0.041996
193,0.37109,0.44688,498.77,35.152,34.783,0.049118
194,0.38438,0.41641,502.96,35.748,36.234,0.043792
195,0.41094,0.36875,476.29,34.592,34.509,0.046892
196,0.44922,0.39219,470.69,34.361,36.076,0.039532
197,0.44688,0.40312,484.57,35.212,35.885,0.043025
198,0.41641,0.48281,501.9,35.744,34.953,0.047477
199,0.36875,0.42891,508.17,35.855,36.203,0.027907
200,0.39219,0.49141,495.71,35.501,35.856,0.04162
201,0.40312,0.40469,490.88,38.782,35.511,0.029792
202,0.48281,0.40781,464.99,34.542,37.167,0.040798
203,0.42891,0.40859,491.42,35.074,36.192,0.03844
204,0.49141,0.41406,457.32,34.464,36.979,0.031795
205,0.40469,0.43125,494.39,34.933,35.422,0.037814
206,0.40781,0.34766,505.92,35.625,36.829,0.042916
207,0.40859,0.44687,502.75,35.214,34.487,0.044367
208,0.41406,0.44609,461.92,34.41,37.109,0.049691
209,0.43125,0.43594,488.81,34.818,36.758,0.04105
210,0.34766,0.3875,499.75,34.595,33.515,0.052529
211,0.44688,0.42188,476.85,34.03,34.751,0.030519
212,0.44609,0.37266,470.01,35.035,36.373,0.052196
213,0.43594,0.37344,484.58,33.931,33.652,0.043246
214,0.3875,0.41172,478.56,34.292,34.906,0.047029
215,0.42188,0.43125,490.84,33.92,36.22,0.038761
216,0.37266,0.42578,492.35,34.202,36.158,0.31046
217,0.37344,0.43906,526.82,35.337,35.481,0.034947
218,0.41172,0.45312,499.1,34.17,35.587,0.047519
219,0.43125,0.44219,487.74,34.034,36.219,0.049965
220,0.42578,0.41719,487.82,33.982,36.392,0.050143
221,0.43906,0.43516,475.25,34.034,35.713,0.049601
222,0.45312,0.37734,461.52,33.334,34.439,0.044045
223,0.44219,0.41016,489.63,33.595,36.691,0.05679
